Passage_ID,Subject,Target_Difficulty,Original_Passage,Restructured_Output,Original_FRE,Output_FRE,FRE_Delta,Original_FKGL,Output_FKGL,FKGL_Reduction,Original_GFI,Output_GFI,GFI_Reduction,Original_ASL,Output_ASL,ASL_Reduction,Original_ASW,Output_ASW,ASW_Reduction,Actual_BERTScore_F1,BERTScore_Method,Actual_ERR,Entity_Count,Preserved_Entity_Count,Missing_Entities,Pass_Fail,Pass_Fail_Rationale,System_Mode,API_Success,Evaluation_Date
PAS_001,Science,Grade 5-6,"Plants need light, water, air, and soil to grow, and each need can be tested in a simple classroom investigation. A bean seed starts as a small, dry object, but it holds a young plant inside. When water enters the seed, the coat softens and the root begins to move down, while the stem pushes upward toward the light. Leaves open and make food from sunlight. This process helps students see that growth is a set of steps that can be watched, drawn, and measured.","- Plants need light, water, air, and soil to grow. - Each need can be tested in a classroom. - A bean seed starts as a small, dry object, but it holds a young plant inside. - When water enters the seed, the coat softens and the root begins to move down. - The stem pushes upward toward the light. - Leaves open and make food from sunlight. - This helps students see that growth is a set of steps that can be watched, drawn and measured.",81.09,90.54,9.45,6.17,3.47,2.7,7.74,5.07,2.67,17.0,11.43,5.57,1.28,1.24,0.04,0.8907,bert-score,1.0,0,0,,PASS,BERTScore 0.8907 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 2.70,local-model,True,2026-05-21
PAS_002,Science,Grade 6-7,"A magnet can pull some metals without touching them. This happens because the magnet has an invisible field around it. Iron clips move when they enter that field, while paper and wood do not. Students can test the idea by placing different objects near a bar magnet and recording what happens. The north and south ends are called poles. Like poles push apart, but unlike poles pull together. These patterns help explain why magnets are useful in motors, speakers, and simple classroom tools.","- A magnet can pull some metals without touching them. - This happens because the magnet has an invisible field around it. - Iron clips move when they enter that field, while paper and wood do not. - Students can test the idea by placing different objects near a bar magnet and recording what happens. - The north and south ends are called poles. - Like poles push apart, unlike poles pull together. - These patterns help explain why magnets are useful in motors, speakers, and simple classroom tools.",70.45,70.11,-0.34,6.38,6.39,-0.01,7.15,7.12,0.03,11.86,11.71,0.15,1.47,1.48,-0.01,0.9516,bert-score,1.0,0,0,,PASS,BERTScore 0.9516 >= 0.75; ERR 1.00 >= 0.90; FKGL increased by 0.01,local-model,True,2026-05-21
PAS_003,Science,Grade 7-8,"The water cycle moves water through the land, air, and ocean. Heat from the sun changes liquid water into vapor, which rises and cools high in the atmosphere. As the vapor cools, it forms tiny droplets that gather into clouds. When the droplets grow heavy, they fall as rain or snow. Some water flows across the ground into rivers, while some soaks into soil and becomes groundwater. This cycle matters because it connects weather, drinking water, farming, and the health of many ecosystems.","- The water cycle moves water through the land, air, and ocean. - Heat from the sun changes liquid water into vapor, which rises and cools in the atmosphere. - As the vapor cools, it forms tiny droplets that gather into clouds. - When droplets grow heavy, they fall as rain or snow. - Some water flows across the ground into rivers, while others soak in soil and becomes groundwater. - This cycle is important because it connects weather, drinking water, farming and the health of many natural habitats.",68.44,66.4,-2.04,7.15,7.43,-0.28,7.46,8.42,-0.96,13.83,13.83,0.0,1.47,1.49,-0.02,0.9477,bert-score,1.0,0,0,,PASS,BERTScore 0.9477 >= 0.75; ERR 1.00 >= 0.90; FKGL increased by 0.28,local-model,True,2026-05-21
PAS_004,Science,Grade 10,"Cells maintain life by controlling what enters and leaves their membranes. The membrane is not a solid wall; it is a flexible boundary made mostly of lipids and proteins. Small molecules may pass through easily, but larger or charged particles often require transport proteins. When a cell uses energy to move materials against a concentration gradient, the process is called active transport. These mechanisms help cells keep stable internal conditions even when the outside environment changes. Without this regulation, enzymes would fail, waste would build up, and normal growth would stop.","- Cells maintain life by controlling what enters and leaves their membranes. - The membrane is not a solid wall; it is a flexible boundary made mostly of lipids and proteins. - Small molecules may pass through easily, but larger particles often require transport proteins. - When a cell uses energy to move materials against a concentration gradient, the process is called active transport. - These mechanisms help cells keep stable internal conditions even when the outside environment changes. - Without this regulation, enzymes would fail, waste would build up, and normal growth would stop.",50.13,50.15,0.02,10.03,9.95,0.08,12.66,12.67,-0.01,15.17,14.83,0.34,1.67,1.67,0.0,0.9593,bert-score,1.0,0,0,,PASS,BERTScore 0.9593 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.08,local-model,True,2026-05-21
PAS_005,Science,Grade 14,"Climate models combine physical equations, atmospheric observations, ocean data, and estimates of human activity. They do not predict each storm in exact detail; instead, they simulate broad patterns that emerge over time. Researchers test models by comparing past simulations with historical measurements. When models reproduce earlier temperature trends, scientists gain more confidence in their future projections. Uncertainty remains because clouds, land use, aerosols, and policy choices interact in complex ways. Even so, the models consistently show that rising greenhouse gas concentrations increase average global temperature and intensify many climate risks.","- Climate models combine physical equations, atmospheric observations, ocean data, and estimates of human activity. - They do not predict each storm in exact detail; they simulate broad patterns that emerge over time. - Researchers test models by comparing past simulations with historical measurements. - When models reproduce earlier temperature trends, scientists gain more confidence in their future projections. - Uncertainty remains because clouds, land use, aerosols, and policy choices interact in complex ways. - The models show that rising greenhouse gas concentrations increase average global temperature and intensify many climate risks.",19.59,21.12,1.53,14.25,13.87,0.38,17.11,16.9,0.21,15.0,14.33,0.67,2.03,2.02,0.01,0.9699,bert-score,1.0,0,0,,PASS,BERTScore 0.9699 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.38,local-model,True,2026-05-21
PAS_006,Science,Grade 18+,"Photosynthesis is often described as a simple conversion of light into chemical energy, yet the process depends on an intricate coordination of pigments, membranes, enzymes, and electron carriers. In chloroplasts, photons excite electrons within chlorophyll molecules, initiating a chain of transfers that produces ATP and NADPH. These energy-rich molecules then support carbon fixation in the Calvin cycle, where carbon dioxide is incorporated into organic compounds. Because each stage is sensitive to temperature, water availability, and nutrient status, plant productivity reflects not merely sunlight exposure but a dynamic interaction among biochemical capacity, environmental constraint, and evolutionary adaptation.","- Photosynthesis is often described as a simple conversion of light into chemical energy, yet the process depends on an intricate coordination of pigments, membranes, enzymes, and electron carriers. - In chloroplasts, photons excite electrons within chlorophyll molecules, initiating a chain of transfers that produces ATP and NADPH. - These energy-rich molecules then support carbon fixation in the Calvin cycle, where carbon dioxide is integrated into organic compounds. - Because each stage is sensitive to temperature, water availability, and nutrient status, plant productivity reflects not merely sunlight exposure but a dynamic interaction between biochemical capacity, environmental constraint, and evolutionary adaptation.",-3.55,-2.68,0.87,19.78,19.66,0.12,23.72,23.72,0.0,24.25,24.25,0.0,2.2,2.19,0.01,0.977,bert-score,1.0,2,2,,PASS,BERTScore 0.9770 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.12,local-model,True,2026-05-21
PAS_007,Science,Grade 18+,"Contemporary genomic medicine depends on probabilistic interpretation rather than deterministic prediction, because most clinically relevant phenotypes arise from interactions among multiple loci, regulatory networks, epigenetic states, and environmental exposures. A variant associated with elevated disease risk in one population may have attenuated, amplified, or uncertain significance in another, especially when reference databases underrepresent ancestral diversity. Consequently, responsible interpretation requires statistical calibration, functional evidence, family history, and ethical attention to uncertainty. The technical challenge is not merely sequencing DNA at scale; it is translating heterogeneous molecular signals into clinically useful judgments without overstating causality or neglecting social consequences.","- Modern genomic medicine depends on probabilistic interpretation rather than deterministic prediction, because most clinically relevant phenotypes arise from interactions between multiple loci, regulatory networks, epigenetic states, and environmental exposure. - A variant associated with elevated disease risk may have attenuated, amplified, or uncertain significance in another, especially when reference databases underrepresent ancestral diversity. - Consequently, responsible interpretation requires statistical calibration, functional evidence, family history, and ethical attention to uncertainty. - The technical challenge is not just sequencing DNA at scale; it is translating heterogeneous molecular signals into clinically useful judgments.",-47.16,-39.87,7.29,25.86,24.22,1.64,31.97,30.31,1.66,24.25,21.75,2.5,2.71,2.66,0.05,0.9608,bert-score,1.0,1,1,,PASS,BERTScore 0.9608 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 1.64,local-model,True,2026-05-21
PAS_008,Social Science,Grade 6-7,"A community is a group of people who share a place, a need, or a goal. In a school, students, teachers, guards, and families all help the community work well. Rules make daily life safer because people know what to expect. When a rule is unfair, people can talk, vote, or ask leaders to change it. Social scientists study these actions to understand how people live together. They ask questions, listen to stories, count patterns, and explain why cooperation matters.","- A community is a group of people who share a place, a need, or a goal. - In a school, students, teachers, guards and families help the community work well. - Rules make daily life safer because people know what to expect. - When a rule is unfair, people can talk, vote, or ask leaders to change it. - Social scientists study these actions to understand how people live together. - They ask questions, listen to stories, count patterns, and explain why cooperation matters.",72.75,72.46,-0.29,6.43,6.42,0.01,8.33,8.3,0.03,13.33,13.17,0.16,1.43,1.43,0.0,0.9509,bert-score,1.0,0,0,,PASS,BERTScore 0.9509 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.01,local-model,True,2026-05-21
PAS_009,Social Science,Grade 7-8,"Families teach children many social habits before they enter school. A child may learn how to greet elders, share food, solve conflicts, or show respect during family routines. These lessons are not always written down, but they shape behavior. Researchers call this process socialization. Schools, media, friends, and online spaces also teach values. When these influences agree, children may feel secure. When they conflict, children may need to choose which rule fits the situation. Studying socialization helps explain why people from different backgrounds may act in different ways.","- Families teach children many social habits before they enter school. - A child may learn how to greet elders, share food, solve conflicts, or show respect during family routines. - These lessons are not always written down, but they shape behavior. - Researchers call this process socialization. - Schools, media, friends, and online spaces teach values. - When these influences agree, children may feel secure. - When they conflict, children may need to choose which rule fits the situation. - Studying socialization helps explain why people from different backgrounds may act differently.",61.08,59.7,-1.38,7.47,7.57,-0.1,9.4,9.43,-0.03,11.0,10.62,0.38,1.59,1.61,-0.02,0.8922,bert-score,1.0,0,0,,PASS,BERTScore 0.8922 >= 0.75; ERR 1.00 >= 0.90; FKGL increased by 0.10,local-model,True,2026-05-21
PAS_010,Social Science,Grade 11,"Public opinion is shaped by information, experience, group identity, and trust. People often use news reports, family conversations, and social media posts to decide what they believe about public issues. However, two people can receive the same facts and reach different conclusions. Their views may depend on values, past experiences, or loyalty to a group. Survey researchers measure these patterns by asking carefully designed questions to many respondents. The results help leaders understand public concerns, but they must be interpreted with attention to wording, sampling, and timing.","- information shaps Public opinion, experience, group identity and trust. - People often use news reports, family conversations and social media posts to decide what they think about public issues. - Deux people can receive the same facts and draw different conclusions. - Their views may depend on values, past experiences, or loyalty to a group. - Survey researchers measure these patterns by asking carefully designed questions to many respondents. - The results help leaders understand public concerns, but they must be interpreted with attention to wording, sampling, and timing.",41.39,43.57,2.18,11.09,10.66,0.43,13.62,13.22,0.4,14.5,14.0,0.5,1.78,1.76,0.02,0.8925,bert-score,1.0,0,0,,PASS,BERTScore 0.8925 >= 0.75; ERR 1.00 >= 0.90; FKGL reduced by 0.43,local-model,True,2026-05-21
