Sample ID,Audio File,Accent Type,Difficulty Level,Expected Transcript,Whisper Transcript,Normalized Expected,Normalized Transcript,Substitutions,Deletions,Insertions,Total Reference Words,WER (%),WER Threshold,WER Pass/Fail,Match Accuracy (%),PMR Threshold,PMR Pass/Fail
WP_001,std_basic_001_mountain.wav,Standard English,Basic,please say the word mountain,please say the word mountain,please say the word mountain,please say the word mountain,0,0,0,5,0.0,15,Pass,96,70,Pass
WP_002,std_basic_002_library.wav,Standard English,Basic,please read the word library,please read the word library,please read the word library,please read the word library,0,0,0,5,0.0,15,Pass,94,70,Pass
WP_003,std_basic_003_thunder.wav,Standard English,Basic,please repeat the word thunder,please repeat the word thunder,please repeat the word thunder,please repeat the word thunder,0,0,0,5,0.0,15,Pass,93,70,Pass
WP_004,std_basic_004_gather.wav,Standard English,Basic,please say the word gather,please say the word gather,please say the word gather,please say the word gather,0,0,0,5,0.0,15,Pass,91,70,Pass
WP_005,std_intermediate_001_fragile.wav,Standard English,Intermediate,please pronounce the word fragile,please pronounce the word fragile,please pronounce the word fragile,please pronounce the word fragile,0,0,0,5,0.0,15,Pass,88,70,Pass
WP_006,std_intermediate_002_whisper.wav,Standard English,Intermediate,please say the word whisper,please say the word whisper,please say the word whisper,please say the word whisper,0,0,0,5,0.0,15,Pass,86,70,Pass
WP_007,std_intermediate_003_ancient.wav,Standard English,Intermediate,please read the word ancient,please read the word ancient,please read the word ancient,please read the word ancient,0,0,0,5,0.0,15,Pass,84,70,Pass
WP_008,std_advanced_001_brilliant.wav,Standard English,Advanced,please say the word brilliant,please say the word brilliant,please say the word brilliant,please say the word brilliant,0,0,0,5,0.0,15,Pass,82,70,Pass
WP_009,std_advanced_002_beneath.wav,Standard English,Advanced,please repeat the word beneath,please repeat the word beneth,please repeat the word beneath,please repeat the word beneth,1,0,0,5,20.0,15,Fail,76,70,Pass
WP_010,std_advanced_003_although.wav,Standard English,Advanced,please pronounce the word although,please pronounce the word although,please pronounce the word although,please pronounce the word although,0,0,0,5,0.0,15,Pass,79,70,Pass
WP_011,fil_basic_001_mountain.wav,Filipino-accented English,Basic,please say the word mountain,please say the word mountain,please say the word mountain,please say the word mountain,0,0,0,5,0.0,25,Pass,88,60,Pass
WP_012,fil_basic_002_library.wav,Filipino-accented English,Basic,please read the word library,please read the word libary,please read the word library,please read the word libary,1,0,0,5,20.0,25,Pass,72,60,Pass
WP_013,fil_basic_003_thunder.wav,Filipino-accented English,Basic,please repeat the word thunder,please repeat the word tander,please repeat the word thunder,please repeat the word tander,1,0,0,5,20.0,25,Pass,69,60,Pass
WP_014,fil_basic_004_gather.wav,Filipino-accented English,Basic,please say the word gather,please say the word gader,please say the word gather,please say the word gader,1,0,0,5,20.0,25,Pass,68,60,Pass
WP_015,fil_intermediate_001_fragile.wav,Filipino-accented English,Intermediate,please pronounce the word fragile,please pronounce the word fragil,please pronounce the word fragile,please pronounce the word fragil,1,0,0,5,20.0,25,Pass,66,60,Pass
WP_016,fil_intermediate_002_whisper.wav,Filipino-accented English,Intermediate,please say the word whisper,please say the word wisper,please say the word whisper,please say the word wisper,1,0,0,5,20.0,25,Pass,64,60,Pass
WP_017,fil_intermediate_003_ancient.wav,Filipino-accented English,Intermediate,please read the word ancient,please read the word anshent,please read the word ancient,please read the word anshent,1,0,0,5,20.0,25,Pass,61,60,Pass
WP_018,fil_advanced_001_brilliant.wav,Filipino-accented English,Advanced,please say the word brilliant,please say the word brilyant,please say the word brilliant,please say the word brilyant,1,0,0,5,20.0,25,Pass,59,60,Fail
WP_019,fil_advanced_002_beneath.wav,Filipino-accented English,Advanced,please repeat the word beneath,please repeat the word benit,please repeat the word beneath,please repeat the word benit,1,0,0,5,20.0,25,Pass,55,60,Fail
WP_020,fil_advanced_003_although.wav,Filipino-accented English,Advanced,please pronounce the word although,please pronounce the word aldough,please pronounce the word although,please pronounce the word aldough,1,0,0,5,20.0,25,Pass,57,60,Fail
